gate_count,replica,circuit_seed,mode,circuit_fingerprint,n_h_slots,n_t_slots,n_cnot,n_gates_total,n_quantum_params_if_vqc,r2_holdout,rmse_holdout,mae_holdout,pearson_holdout,spearman_holdout,r2_val,best_val_rmse,train_time_s,epochs_run,n_trainable_total,n_quantum_params
10,8,1178,param_vqc,"t:2|cx:2,3|cx:1,3|t:1|cx:0,2|h:3|h:4|cx:3,0|cx:2,5|cx:2,5",2,2,6,10,4,0.45634305477142334,0.7295231946613622,0.5726196765899658,0.6784811019897461,0.6725535967407912,0.9143285751342773,0.2943253072883339,169.66360306739807,15.0,869.0,4.0
10,9,1179,fixed_e2e,"t:0|cx:4,5|h:4|t:3|t:2|t:0|cx:0,1|cx:5,3|h:2|cx:1,2",2,4,4,10,6,0.474955677986145,0.7169264590510874,0.5610051155090332,0.6919543743133545,0.6823612989949926,0.9840824604034424,0.12686670002543274,239.59483075141907,15.0,5599.0,0.0
10,9,1179,param_vqc,"t:0|cx:4,5|h:4|t:3|t:2|t:0|cx:0,1|cx:5,3|h:2|cx:1,2",2,4,4,10,6,0.47394031286239624,0.7176193798584662,0.566547691822052,0.6900169849395752,0.6831649138896118,0.9044826626777649,0.3107783096964559,181.5954110622406,15.0,871.0,6.0
10,10,1180,fixed_e2e,"t:3|t:2|t:5|h:4|h:5|t:4|t:4|t:0|h:3|cx:2,5",3,6,1,10,9,0.47112494707107544,0.7195370552748304,0.5620698928833008,0.691494345664978,0.6829997014949712,0.9782499074935913,0.148299717953961,236.66485285758972,15.0,5599.0,0.0
10,10,1180,param_vqc,"t:3|t:2|t:5|h:4|h:5|t:4|t:4|t:0|h:3|cx:2,5",3,6,1,10,9,0.46284592151641846,0.7251470581077076,0.5647884607315063,0.6855882406234741,0.6726854585128694,0.9626986980438232,0.19421002128241016,189.49145102500916,15.0,874.0,9.0
10,11,1181,fixed_e2e,"t:2|cx:5,2|t:4|t:5|cx:0,2|cx:2,4|h:1|h:0|cx:1,3|cx:2,1",2,3,5,10,5,0.46364378929138184,0.7246082645212388,0.5669920444488525,0.6864264011383057,0.6762763747989037,0.983187198638916,0.13038568022204747,237.53517985343933,15.0,5599.0,0.0
10,11,1181,param_vqc,"t:2|cx:5,2|t:4|t:5|cx:0,2|cx:2,4|h:1|h:0|cx:1,3|cx:2,1",2,3,5,10,5,0.4519041180610657,0.7324953983279517,0.5695217847824097,0.6764634847640991,0.6669825257580757,0.9438173770904541,0.23834746644546292,171.29667782783508,15.0,870.0,5.0
10,12,1182,fixed_e2e,"cx:1,5|h:0|cx:4,5|t:4|h:4|h:5|h:0|cx:0,5|t:4|h:1",5,2,3,10,7,0.4751822352409363,0.7167717620026066,0.5595136284828186,0.691129207611084,0.6826094138789092,0.9842363595962524,0.1262518145293908,235.3622760772705,15.0,5599.0,0.0
10,12,1182,param_vqc,"cx:1,5|h:0|cx:4,5|t:4|h:4|h:5|h:0|cx:0,5|t:4|h:1",5,2,3,10,7,0.4622976779937744,0.725517012966492,0.5680637955665588,0.6849544048309326,0.675719618510308,0.9423312544822693,0.24147922252439036,187.95689296722412,15.0,872.0,7.0
10,13,1183,fixed_e2e,"t:0|cx:3,2|cx:4,0|cx:0,1|cx:5,2|t:0|t:3|h:3|t:2|h:1",2,4,4,10,6,0.4869345426559448,0.7087009588562088,0.5510836243629456,0.6992746591567993,0.6891944551932935,0.9842003583908081,0.1263958584483264,236.25702929496765,15.0,5599.0,0.0
10,13,1183,param_vqc,"t:0|cx:3,2|cx:4,0|cx:0,1|cx:5,2|t:0|t:3|h:3|t:2|h:1",2,4,4,10,6,0.47524696588516235,0.7167275626532895,0.5618293285369873,0.6914069056510925,0.6806018818054979,0.9408632516860962,0.24453351260469955,178.17748713493347,15.0,871.0,6.0
10,14,1184,fixed_e2e,"t:2|h:2|t:0|h:5|cx:3,0|h:1|t:5|t:3|h:5|t:4",4,5,1,10,9,0.4579300880432129,0.7284576147469729,0.5697078704833984,0.6814470291137695,0.6703077985280793,0.9831339716911316,0.13059176653085777,234.87827730178833,15.0,5599.0,0.0
10,14,1184,param_vqc,"t:2|h:2|t:0|h:5|cx:3,0|h:1|t:5|t:3|h:5|t:4",4,5,1,10,9,0.4542989730834961,0.7308933839373012,0.5675608515739441,0.6808908581733704,0.669362473116766,0.9558398723602295,0.21131234065988846,194.42098593711853,15.0,874.0,9.0
